timestamp,vibration,temperature,belt_speed,tension,motor_current,alignment,fault_condition
2026-01-06 05:05:00,2.538,50.62,2.909,78.01,96.65,1.04,Normal
2026-01-09 23:30:00,3.391,61.18,2.899,116.39,109.45,0.589,Normal
2026-01-10 05:05:00,4.107,61.67,2.655,113.28,108.63,0.553,Normal
2026-01-04 15:55:00,5.471,50.79,3.128,100.91,119.64,0.625,Normal
2026-01-03 10:45:00,6.03,72.78,2.31,105.54,127.46,2.22,Joint Failure
2026-01-01 08:50:00,3.252,55.41,2.604,118.98,96.26,1.037,Normal
2026-01-03 01:05:00,3.773,63.97,2.804,75.69,116.8,0.801,Normal
2026-01-09 13:40:00,3.587,51.88,3.138,109.79,110.51,0.758,Normal
2026-01-09 09:05:00,2.957,65.67,2.786,103.4,108.22,1.452,Normal
2026-01-06 13:20:00,3.916,55.47,2.825,99.21,101.7,0.501,Normal
2026-01-09 13:20:00,4.967,54.08,2.518,99.72,129.79,4.565,Misalignment
2026-01-01 19:00:00,5.192,51.88,2.178,93.53,100.23,0.581,Belt Damage
2026-01-04 04:15:00,3.828,52.93,2.776,96.35,107.92,0.442,Normal
2026-01-03 18:10:00,2.466,58.24,2.908,123.92,89.09,1.225,Normal
2026-01-11 11:45:00,2.707,47.88,2.683,83.77,100.87,1.478,Normal
2026-01-13 07:15:00,2.232,52.46,2.631,79.92,96.29,0.389,Normal
2026-01-04 17:25:00,2.396,54.12,3.037,91.94,97.77,1.024,Normal
2026-01-12 15:15:00,2.279,66.28,2.744,91.82,117.3,1.098,Normal
2026-01-07 01:20:00,4.0,43.85,2.645,93.02,95.48,0.81,Normal
2026-01-04 18:20:00,7.084,61.63,2.626,140.71,138.8,0.583,Joint Failure
2026-01-04 05:10:00,2.853,56.29,3.014,103.87,106.22,1.032,Normal
2026-01-11 14:05:00,3.667,44.55,3.118,99.16,95.22,0.377,Normal
2026-01-04 21:05:00,6.364,55.67,2.25,55.76,107.82,2.219,Belt Damage
2026-01-03 05:30:00,3.0,63.8,2.554,129.85,109.59,0.977,Normal
2026-01-17 13:15:00,2.443,59.93,2.993,98.83,129.69,0.774,Normal
2026-01-02 17:45:00,3.461,55.29,3.103,104.78,99.12,0.795,Normal
2026-01-15 02:50:00,2.804,59.76,2.692,100.15,122.88,0.88,Normal
2026-01-02 03:45:00,2.802,41.28,2.928,68.66,104.24,1.061,Normal
2026-01-17 06:20:00,4.684,60.76,1.933,125.61,135.04,0.869,Overload
2026-01-02 16:30:00,2.922,40.32,2.609,69.36,74.46,0.336,Normal
2026-01-07 19:30:00,6.415,54.67,2.375,93.96,107.37,1.416,Belt Damage
2026-01-02 08:45:00,2.749,58.13,2.923,101.83,160.63,1.451,Overload
2026-01-17 19:30:00,2.102,50.21,2.731,85.23,108.28,0.232,Normal
2026-01-17 21:30:00,3.329,65.9,2.853,67.98,101.87,1.35,Normal
2026-01-07 02:15:00,3.741,74.16,2.371,128.69,127.36,1.905,Overload
2026-01-09 17:35:00,6.636,69.66,2.006,119.78,134.42,1.195,Joint Failure
2026-01-13 10:45:00,2.755,64.64,3.051,89.5,100.07,1.639,Normal
2026-01-15 23:35:00,3.267,58.16,2.884,84.51,118.92,0.696,Normal
2026-01-18 05:50:00,7.539,55.46,2.704,133.35,124.29,1.683,Joint Failure
2026-01-08 06:55:00,4.099,48.05,3.058,89.02,104.86,0.973,Normal
2026-01-13 11:55:00,4.03,50.01,2.6,90.7,149.45,2.453,Misalignment
2026-01-15 07:25:00,3.929,64.02,3.012,84.16,127.31,1.498,Normal
2026-01-01 02:25:00,2.11,65.02,2.984,111.6,94.64,1.229,Normal
2026-01-01 05:25:00,2.698,62.77,2.467,112.61,113.83,0.638,Normal
2026-01-03 21:50:00,4.48,56.3,3.056,101.72,115.84,3.707,Misalignment
2026-01-14 13:30:00,2.485,43.84,2.865,90.76,88.07,0.768,Normal
2026-01-14 02:25:00,4.656,56.8,3.024,141.99,146.77,1.099,Overload
2026-01-17 02:15:00,6.642,68.8,2.179,115.65,143.96,1.674,Joint Failure
2026-01-11 23:25:00,2.71,62.43,3.349,85.18,119.85,0.386,Normal
2026-01-10 05:35:00,3.133,58.16,2.596,90.96,133.16,3.711,Misalignment
2026-01-17 00:35:00,4.559,49.8,2.753,94.4,103.3,0.678,Normal
2026-01-17 01:40:00,4.466,54.75,2.597,96.01,123.95,0.449,Misalignment
2026-01-09 12:15:00,4.819,44.7,2.592,89.9,89.73,1.889,Joint Failure
2026-01-10 21:10:00,1.839,74.45,2.516,133.2,130.28,1.449,Overload
2026-01-04 23:20:00,2.731,46.86,2.243,79.64,98.79,0.505,Normal
2026-01-11 16:30:00,4.511,50.69,3.018,86.05,102.44,0.547,Normal
2026-01-04 19:55:00,6.58,65.7,2.609,120.01,125.33,1.842,Joint Failure
2026-01-01 14:00:00,4.147,69.47,2.603,96.78,112.12,0.334,Normal
2026-01-06 19:10:00,3.994,65.83,3.109,90.3,111.75,0.447,Normal
2026-01-09 22:10:00,2.299,49.63,2.78,89.75,95.41,0.642,Normal
2026-01-09 06:05:00,4.399,61.95,3.117,93.99,147.33,0.786,Overload
2026-01-16 06:15:00,4.643,64.98,3.292,90.0,133.62,1.77,Belt Damage
2026-01-15 18:45:00,2.797,57.72,2.433,81.33,102.11,0.929,Normal
2026-01-14 09:50:00,2.809,47.9,2.635,120.75,113.69,0.268,Normal
2026-01-01 01:55:00,3.005,42.76,2.757,101.53,110.87,1.002,Normal
2026-01-10 03:25:00,3.863,57.28,2.85,94.93,115.65,1.426,Normal
2026-01-12 14:20:00,4.493,57.68,2.631,70.15,114.0,0.846,Belt Damage
2026-01-08 16:35:00,2.034,52.34,2.978,85.93,104.84,0.686,Normal
2026-01-13 18:50:00,6.775,49.74,2.096,111.02,146.54,1.237,Overload
